epoch,BoxAP,PoseAP
911,0.686,0.495
912,0.686,0.495
913,0.687,0.495
914,0.687,0.495
915,0.687,0.496
916,0.687,0.495
917,0.687,0.495
918,0.687,0.495
919,0.687,0.495
920,0.687,0.496
921,0.687,0.496
922,0.687,0.496
923,0.687,0.496
924,0.687,0.496
925,0.687,0.496
926,0.687,0.496
927,0.687,0.496
928,0.687,0.496
929,0.687,0.496
930,0.687,0.496
931,0.687,0.496
932,0.687,0.496
933,0.688,0.496
934,0.687,0.497
935,0.687,0.497
936,0.687,0.497
937,0.687,0.497
938,0.688,0.497
939,0.687,0.497
940,0.687,0.497
941,0.687,0.498
942,0.687,0.498
943,0.687,0.498
944,0.688,0.498
945,0.688,0.498
946,0.688,0.499
947,0.687,0.499
948,0.687,0.499
949,0.688,0.499
950,0.688,0.499
951,0.688,0.499
952,0.689,0.499
953,0.689,0.499
954,0.689,0.499
955,0.689,0.499
956,0.689,0.499
957,0.689,0.499
958,0.688,0.499
959,0.688,0.499
960,0.689,0.499
961,0.688,0.500
962,0.689,0.499
963,0.689,0.499
964,0.689,0.499
965,0.689,0.499
966,0.689,0.499
967,0.690,0.499
968,0.689,0.499
969,0.689,0.500
970,0.689,0.499
971,0.690,0.500
972,0.690,0.500
973,0.690,0.500
974,0.690,0.500
975,0.690,0.500
976,0.690,0.500
977,0.690,0.500
978,0.690,0.501
979,0.690,0.501
980,0.690,0.500
981,0.690,0.500
982,0.690,0.501
983,0.690,0.501
984,0.690,0.501
985,0.690,0.501
986,0.690,0.501
987,0.690,0.501
988,0.690,0.501
989,0.690,0.501
990,0.690,0.501
991,0.690,0.501
992,0.691,0.501
993,0.690,0.501
994,0.691,0.501
995,0.691,0.501
996,0.691,0.502
997,0.692,0.502
998,0.692,0.502
999,0.692,0.502
1000,0.692,0.501
